NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
0,0,0,0,0,0,0,0,0,0,0,0,TOX27072,CC1=CC(O)CC(C)(C)C1
0,0,0,0,0,0,0,0,0,0,0,0,TOX27075,Cc1cnc(C)c(C)n1
0,0,0,0,,0,0,0,0,0,0,0,TOX27074,CC(C)COC(=O)c1ccccc1
0,0,0,0,,0,0,0,0,0,0,0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1
0,0,0,0,0,0,0,0,0,0,0,0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2]
0,0,1,0,,0,0,1,0,0,1,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1
0,0,1,,0,0,0,0,0,0,,0,TOX24915,CC1COc2ccccc2N1
0,0,0,0,0,0,0,0,0,0,,0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O
0,,0,,,,,,0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX24911,CC(C)CCCCCOC(=O)CCS
0,0,0,0,0,0,0,0,0,0,0,0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
0,0,0,0,0,0,0,0,0,0,0,1,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
0,0,1,0,0,0,0,0,0,0,,0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br
0,0,0,0,0,0,0,,0,0,0,0,TOX9739,F[B-](F)(F)F.[H+]
0,0,0,0,0,0,0,0,0,0,0,0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
0,0,1,,1,0,0,1,0,0,,0,TOX6050,C(=C/c1ccccc1)\c1ccccc1
0,0,,,,0,0,0,0,0,,0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1
0,0,0,0,0,0,0,0,0,0,0,0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
0,0,0,0,1,1,0,,0,0,0,1,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
0,0,1,,,0,0,1,0,,,0,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
0,0,0,0,0,0,0,0,0,0,0,0,TOX2617,COC(=O)C1=CCCN(C)C1
,,,,,,,0,,0,,,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
0,0,0,0,0,0,0,0,0,0,0,0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
0,0,0,0,0,0,0,0,0,0,0,0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
0,0,0,0,0,0,0,,0,,0,0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX27158,CCCCCC(C)O
0,0,0,0,0,0,0,0,0,0,,0,TOX1708,O=C([O-])c1ccccc1O
0,0,0,0,0,0,0,0,0,0,0,0,TOX1709,NC(=O)c1ccccc1
,,,,,,,0,,0,,,TOX25756,CCN1CCc2nc(N)oc2CC1
0,0,0,,,0,0,,0,,,0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
0,0,0,0,0,0,0,0,0,0,0,0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
,0,0,0,0,0,0,,0,,0,0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
0,0,0,0,0,0,,0,0,0,,0,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
0,0,0,0,0,0,0,0,0,0,0,0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
0,,0,,,0,,1,0,0,0,0,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
0,0,1,0,1,1,0,1,0,,1,0,TOX958,Nc1ccc([N+](=O)[O-])cc1N
0,0,0,0,0,0,0,0,0,0,0,0,TOX14836,[I-].[K+]
0,0,0,0,0,0,0,0,0,0,0,0,TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
0,,1,,0,0,,1,0,0,1,0,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl
0,0,0,0,0,0,0,1,0,0,0,0,TOX5391,C/C=C/C=C/C=O
1,,0,,,0,,1,0,0,,0,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
